date,symbol,open,high,low,close,volume
2023-01-03,IVV,386.1199951171875,388.1099853515625,379.6000061035156,382.5299987792969,6454700
2023-01-03,QQQ,268.6499938964844,270.1499938964844,262.1300048828125,264.4800109863281,42335300
2023-01-03,SPY,384.3699951171875,386.42999267578125,377.8299865722656,380.82000732421875,74850700
2023-01-04,IVV,384.94000244140625,387.6300048828125,381.7699890136719,385.510009765625,3805600
2023-01-04,QQQ,266.6400146484375,267.45001220703125,262.5299987792969,265.739990234375,47754900
2023-01-04,SPY,383.17999267578125,385.8800048828125,380.0,383.760009765625,85934100
2023-01-05,IVV,383.44000244140625,383.54998779296875,380.5299987792969,381.1300048828125,4329700
2023-01-05,QQQ,264.0400085449219,264.2099914550781,261.260009765625,261.5799865722656,45396700
2023-01-05,SPY,381.7200012207031,381.8399963378906,378.760009765625,379.3800048828125,76970500
2023-01-06,IVV,384.3500061035156,391.0299987792969,381.2300109863281,389.8299865722656,4838800
2023-01-06,QQQ,263.3500061035156,269.94000244140625,260.3399963378906,268.79998779296875,54659700
2023-01-06,SPY,382.6099853515625,389.25,379.4100036621094,388.0799865722656,104189600
2023-01-09,IVV,392.1700134277344,395.5,389.42999267578125,389.55999755859375,3474700
2023-01-09,QQQ,270.8299865722656,275.2900085449219,269.9200134277344,270.5400085449219,45568700
2023-01-09,SPY,390.3699951171875,393.70001220703125,387.6700134277344,387.8599853515625,73978100
2023-01-10,IVV,389.0199890136719,392.44000244140625,388.0400085449219,392.3599853515625,3649100
2023-01-10,QQQ,269.489990234375,272.94000244140625,268.9700012207031,272.8299865722656,35247800
2023-01-10,SPY,387.25,390.6499938964844,386.2699890136719,390.5799865722656,65358100
2023-01-11,IVV,394.05999755859375,397.3999938964844,393.2200012207031,397.25,6273800
2023-01-11,QQQ,273.9200134277344,277.6600036621094,273.1199951171875,277.54998779296875,44077000
2023-01-11,SPY,392.2300109863281,395.6000061035156,391.3800048828125,395.5199890136719,68881100
2023-01-12,IVV,398.4700012207031,400.30999755859375,394.2300109863281,398.79998779296875,3988000
2023-01-12,QQQ,278.1199951171875,280.1000061035156,273.739990234375,279.04998779296875,60600000
2023-01-12,SPY,396.6700134277344,398.489990234375,392.4200134277344,396.9599914550781,90157700
2023-01-13,IVV,395.4599914550781,400.9200134277344,395.1499938964844,400.3699951171875,3192700
